Programa,Numero_consecutivo,Numero_de_Ident_de_pieza,Date,Time,Recorrido_fusion_mm,Corriente_maxima_kA,Area_de_corriente_AS,Energia_acumulada_kJ,Fuerza_soldadura_kN,Corriente_max_1_kA,Area_de_Corriente_max_1_As,Corriente_max_2_kA,Area_de_Corriente_max_2_As,Corriente_max_3_kA,Area_de_Corriente_max_3_As,Corriente_max_4_kA,Area_de_Corriente_max_4_As,Evaluacion
30DS29,53920,221003T113059  53920,2022-10-03,11:30:59,"0,38","165,771","1382,55","21,692","31,5938","41,3943","335,386","41,0846","335,348","40,9685","370,176","42,3234","341,643",OK
30DS29,53921,221003T113104  53921,2022-10-03,11:31:04,"0,402","165,642","1384,06","21,7205","31,3003","41,3749","337,147","41,1427","334,915","40,8846","371,027","42,2395","340,973",OK
30DS29,53922,221003T113110  53922,2022-10-03,11:31:10,"0,408","165,674","1387,23","21,6844","31,2529","41,5104","339,502","41,2846","337,687","40,7169","368,974","42,1621","341,065",OK
30DS29,53923,221003T113115  53923,2022-10-03,11:31:15,"0,412","165,99","1390,6","21,8005","31,3477","41,3749","337,86","41,0782","334,377","41,0395","374,173","42,4975","344,193",OK
30DS29,53924,221003T113120  53924,2022-10-03,11:31:20,"0,404","164,358","1368,6","21,6825","31,6661","41,0911","335,092","40,7104","331,568","40,4782","364,553","42,0782","337,386",OK
30DS29,53925,221003T113126  53925,2022-10-03,11:31:26,"0,396","164,951","1376,18","21,6483","31,4629","41,1491","334,949","40,8459","331,58","40,8072","369,998","42,1492","339,648",OK
30DS29,53926,221003T113132  53926,2022-10-03,11:31:32,"0,386","165,693","1385,68","21,6958","31,7203","41,3556","339,081","41,1491","337,28","40,8136","369,202","42,375","340,121",OK
30DS29,53927,221003T113137  53927,2022-10-03,11:31:37,"0,396","165,261","1378,65","21,6863","31,5758","41,2782","336,162","41,0395","333,318","40,7749","370,233","42,1685","338,939",OK
30DS29,53928,221003T113142  53928,2022-10-03,11:31:42,"0,4","165,358","1381,55","21,599","31,6209","41,2846","336,944","41,1362","336,139","40,8201","369,472","42,1169","338,99",OK
30DS29,53929,221003T113152  53929,2022-10-03,11:31:52,"0,386","166,319","1390,82","21,673","31,6119","41,5233","337,193","41,3362","337,694","41,0266","372,436","42,433","343,495",OK
30DS29,53930,221003T113228  53930,2022-10-03,11:32:28,"0,4","166,048","1393,71","21,6977","31,6029","41,5814","340,665","41,1685","337,899","40,9556","371,333","42,3427","343,817",OK
30DS29,53931,221003T113234  53931,2022-10-03,11:32:33,"0,406","166,551","1397,81","21,6445","31,4945","41,7492","342,563","41,4459","341,287","41,0588","373,287","42,2975","340,676",OK
30DS29,53932,221003T113915  53932,2022-10-03,11:39:15,"0,394","166,913","1406,07","21,7833","31,2145","41,6395","340,821","41,5362","340,745","41,1233","376,893","42,6137","347,611",OK
30DS29,53933,221003T113930  53933,2022-10-03,11:39:30,"0,392","167,126","1412,25","21,6616","31,6006","41,8395","344,471","41,5685","342,519","41,1685","378,16","42,5492","347,102",OK
30DS29,53934,221003T113939  53934,2022-10-03,11:39:39,"0,374","166,1","1394,83","21,7224","31,4854","41,4524","338,691","41,3104","338,42","40,8846","373,547","42,4524","344,176",OK
30DS29,53935,221003T113948  53935,2022-10-03,11:39:48,"0,394","166,622","1398,81","21,7548","31,4154","41,704","343,067","41,5556","341,735","40,9556","371,667","42,4072","342,345",OK
30DS29,53936,221003T113953  53936,2022-10-03,11:39:53,"0,422","165,861","1387,63","21,6654","31,4967","41,5233","339,255","41,0459","335,675","40,9556","370,967","42,3363","341,732",OK
30DS29,53937,221003T113959  53937,2022-10-03,11:39:59,"0,39","166,468","1401,38","21,7167","31,2754","41,5362","339,468","41,3298","339,292","41,1749","378,441","42,4266","344,179",OK
30DS29,53938,221003T114004  53938,2022-10-03,11:40:04,"0,402","165,951","1389,45","21,6787","31,49","41,6975","341,307","41,3556","339,036","40,704","368,918","42,1943","340,184",OK
30DS29,53939,221003T114009  53939,2022-10-03,11:40:09,"0,4","166,113","1391,76","21,6901","31,5351","41,6717","342,072","41,2201","338,504","40,9749","371,118","42,2459","340,067",OK
30DS29,53940,221003T114015  53940,2022-10-03,11:40:15,"0,382","166,384","1397,66","21,6502","31,6006","41,5104","339,773","41,2653","337,44","41,0782","375,281","42,5298","345,171",OK
30DS29,53941,221003T114024  53941,2022-10-03,11:40:24,"0,392","166,313","1396,45","21,6749","31,5984","41,6459","342,96","41,2717","337,088","40,9491","372,658","42,4459","343,739",OK
30DS29,53942,221003T114029  53942,2022-10-03,11:40:29,"0,394","166,429","1400,1","21,6255","31,5554","41,5491","341,216","41,3233","339,931","41,0072","374,394","42,5492","344,554",OK
30DS29,53943,221003T114035  53943,2022-10-03,11:40:34,"0,388","165,809","1382,16","21,6426","31,5758","41,4137","335,013","41,233","334,976","40,8782","369,979","42,2846","342,191",OK
30DS29,53944,221003T114040  53944,2022-10-03,11:40:40,"0,392","166,5","1393,88","21,6104","31,3838","41,6395","340,409","41,3233","339,081","41,0524","371,886","42,4847","342,501",OK
30DS29,53945,221003T114045  53945,2022-10-03,11:40:45,"0,402","165,551","1384,53","21,6692","31,4742","41,3943","336,266","40,8846","334,43","40,962","371,684","42,3104","342,149",OK
30DS29,53946,221003T114050  53946,2022-10-03,11:40:50,"0,394","165,338","1383,35","21,7395","31,4132","41,304","336,913","40,9814","332,028","40,7685","372,499","42,2846","341,916",OK
30DS29,53947,221003T114056  53947,2022-10-03,11:40:56,"0,402","166,203","1393,02","21,7281","31,4042","41,3491","337,7","41,2266","338,057","41,0782","372,336","42,5492","344,924",OK
